model,class,f1_mean,f1_sd,support
GSMo ImageNet,Apple___Apple_scab,0.9293725978455042,0.0230157107742527,100.0
GSMo ImageNet,Apple___Black_rot,0.6149891035042799,0.23145158438517555,100.0
GSMo ImageNet,Apple___Cedar_apple_rust,0.9571692539247706,0.04873006743605513,100.0
GSMo ImageNet,Apple___healthy,0.7332581602786288,0.11816771582381357,165.0
GSMo ImageNet,Blueberry___healthy,0.921593625498008,0.1011628081233456,150.0
GSMo ImageNet,Cherry___Powdery_mildew,0.9174003676635708,0.10756748239962048,105.0
GSMo ImageNet,Cherry___healthy,0.9054978668598567,0.09138910856122097,100.0
GSMo ImageNet,Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9715837171331488,0.011006796268990097,100.0
GSMo ImageNet,Corn___Common_rust,0.9745695062150759,0.04044784879954497,119.0
GSMo ImageNet,Corn___Northern_Leaf_Blight,0.962569138268956,0.011413067750921565,100.0
GSMo ImageNet,Corn___healthy,0.9830962506811448,0.010941862065472626,116.0
GSMo ImageNet,Grape___Black_rot,0.9526974018182658,0.0710721312353356,118.0
GSMo ImageNet,Grape___Esca_(Black_Measles),0.964383978144963,0.055413132183898824,138.0
GSMo ImageNet,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9873465119309855,0.0073031769131673635,107.0
GSMo ImageNet,Grape___healthy,0.9834138010313004,0.002616820611165941,100.0
GSMo ImageNet,Orange___Haunglongbing_(Citrus_greening),0.9751997360191217,0.022248414354385123,551.0
GSMo ImageNet,Peach___Bacterial_spot,0.9577544044005085,0.018623164839373242,230.0
GSMo ImageNet,Peach___healthy,0.6392152169403355,0.30773389185188355,100.0
GSMo ImageNet,"Pepper,_bell___Bacterial_spot",0.5612348927623803,0.24599514715118062,100.0
GSMo ImageNet,"Pepper,_bell___healthy",0.8506480784224871,0.16458125540274612,148.0
GSMo ImageNet,Potato___Early_blight,0.860356800631306,0.12378952839055989,100.0
GSMo ImageNet,Potato___Late_blight,0.867612293144208,0.06396901344544069,100.0
GSMo ImageNet,Potato___healthy,0.8975756999709095,0.08600154346122259,100.0
GSMo ImageNet,Raspberry___healthy,0.8913113728028251,0.053458497303588745,100.0
GSMo ImageNet,Soybean___healthy,0.9617278890846185,0.046622774177941306,509.0
GSMo ImageNet,Squash___Powdery_mildew,0.9954881311829541,0.005622599976967665,184.0
GSMo ImageNet,Strawberry___Leaf_scorch,0.9783810960281549,0.02657055859572412,111.0
GSMo ImageNet,Strawberry___healthy,0.9164750633981402,0.08967536528242857,100.0
GSMo ImageNet,Tomato___Bacterial_spot,0.7569334054040079,0.06938284161858543,213.0
GSMo ImageNet,Tomato___Early_blight,0.6991754653023668,0.07351991271181652,100.0
GSMo ImageNet,Tomato___Late_blight,0.8390466442339641,0.032286613511043206,191.0
GSMo ImageNet,Tomato___Leaf_Mold,0.6818804023501185,0.08401950570065805,100.0
GSMo ImageNet,Tomato___Septoria_leaf_spot,0.6885951290214044,0.14515488190636872,178.0
GSMo ImageNet,Tomato___Spider_mites Two-spotted_spider_mite,0.2726451459416362,0.20929898492348054,168.0
GSMo ImageNet,Tomato___Target_Spot,0.604355434845453,0.07259986067394775,140.0
GSMo ImageNet,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.7247449846809007,0.08766039688648274,535.0
GSMo ImageNet,Tomato___Tomato_mosaic_virus,0.469571227647177,0.09691355576833513,100.0
GSMo ImageNet,Tomato___healthy,0.8027098021142591,0.04382807747494734,159.0
GSMo equal loss,Apple___Apple_scab,0.8943572318495866,0.07358386153665396,100.0
GSMo equal loss,Apple___Black_rot,0.9669478003191246,0.03812838934006822,100.0
GSMo equal loss,Apple___Cedar_apple_rust,0.9588125579558152,0.04595213401639931,100.0
GSMo equal loss,Apple___healthy,0.92968548366092,0.051792651148371366,165.0
GSMo equal loss,Blueberry___healthy,0.9336126983737293,0.051757951771746566,150.0
GSMo equal loss,Cherry___Powdery_mildew,0.9769696530475539,0.01817932561251275,105.0
GSMo equal loss,Cherry___healthy,0.9834481108333127,0.010247447865789785,100.0
GSMo equal loss,Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9392721287837825,0.013484778616824034,100.0
GSMo equal loss,Corn___Common_rust,0.9839854168195944,0.024205112003053076,119.0
GSMo equal loss,Corn___Northern_Leaf_Blight,0.9303398545378482,0.020689332476865614,100.0
GSMo equal loss,Corn___healthy,0.9929196673213551,0.008811934439280905,116.0
GSMo equal loss,Grape___Black_rot,0.9786351005088599,0.019873704865695545,118.0
GSMo equal loss,Grape___Esca_(Black_Measles),0.9552722701618012,0.05545202464878903,138.0
GSMo equal loss,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9874346856331789,0.007276391131305745,107.0
GSMo equal loss,Grape___healthy,0.9966996699669967,0.005716339298907175,100.0
GSMo equal loss,Orange___Haunglongbing_(Citrus_greening),0.969387737252831,0.02422801857780951,551.0
GSMo equal loss,Peach___Bacterial_spot,0.97303667442545,0.029856777477498406,230.0
GSMo equal loss,Peach___healthy,0.8414726449314811,0.10846652820355783,100.0
GSMo equal loss,"Pepper,_bell___Bacterial_spot",0.920523484378233,0.06024842227820056,100.0
GSMo equal loss,"Pepper,_bell___healthy",0.9689837216450359,0.023957452261817534,148.0
GSMo equal loss,Potato___Early_blight,0.9715187105452857,0.008117368394091969,100.0
GSMo equal loss,Potato___Late_blight,0.9499944687628149,0.041523329067745696,100.0
GSMo equal loss,Potato___healthy,0.9575599083854648,0.03481940868943502,100.0
GSMo equal loss,Raspberry___healthy,0.9637826019913649,0.01399226630076139,100.0
GSMo equal loss,Soybean___healthy,0.9904441597414104,0.006068980729943083,509.0
GSMo equal loss,Squash___Powdery_mildew,0.9963520087591604,0.004186638230645134,184.0
GSMo equal loss,Strawberry___Leaf_scorch,0.994047259929613,0.006780377423054737,111.0
GSMo equal loss,Strawberry___healthy,0.9817722599927743,0.002737058949814303,100.0
GSMo equal loss,Tomato___Bacterial_spot,0.8629023291393704,0.10428982031802791,213.0
GSMo equal loss,Tomato___Early_blight,0.638921619579275,0.10269879737476183,100.0
GSMo equal loss,Tomato___Late_blight,0.8464833201226295,0.026708975555523394,191.0
GSMo equal loss,Tomato___Leaf_Mold,0.7743711592589353,0.07750697055193942,100.0
GSMo equal loss,Tomato___Septoria_leaf_spot,0.7620283976741957,0.18950965799035555,178.0
GSMo equal loss,Tomato___Spider_mites Two-spotted_spider_mite,0.4265281610128226,0.17031020320385856,168.0
GSMo equal loss,Tomato___Target_Spot,0.7842842291934202,0.09213597546060939,140.0
GSMo equal loss,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8604532491698418,0.08728768157847216,535.0
GSMo equal loss,Tomato___Tomato_mosaic_virus,0.6192367569516205,0.2230089018681777,100.0
GSMo equal loss,Tomato___healthy,0.8669302371264055,0.06580043079752063,159.0
GSMo no pretraining,Apple___Apple_scab,0.9784044793663164,0.011160937829705087,100.0
GSMo no pretraining,Apple___Black_rot,0.9932488159919733,0.00775955544939366,100.0
GSMo no pretraining,Apple___Cedar_apple_rust,0.9966996699669967,0.005716339298907199,100.0
GSMo no pretraining,Apple___healthy,0.9796492182297905,0.004804893584206949,165.0
GSMo no pretraining,Blueberry___healthy,0.994492164448233,0.005043737358502972,150.0
GSMo no pretraining,Cherry___Powdery_mildew,0.9920860603325058,0.0072444260710986435,105.0
GSMo no pretraining,Cherry___healthy,0.9917079618409602,0.0028729581467048532,100.0
GSMo no pretraining,Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9731316515236114,0.012753944666212881,100.0
GSMo no pretraining,Corn___Common_rust,0.9917348196766856,0.010868325367207806,119.0
GSMo no pretraining,Corn___Northern_Leaf_Blight,0.9665238200272389,0.018068558018444467,100.0
GSMo no pretraining,Corn___healthy,0.9985693848354793,0.0024778981510284385,116.0
GSMo no pretraining,Grape___Black_rot,0.98865227678787,0.004850980097493587,118.0
GSMo no pretraining,Grape___Esca_(Black_Measles),0.9952038369304557,0.004153599058918145,138.0
GSMo no pretraining,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9953049583150504,0.004717134195502184,107.0
GSMo no pretraining,Grape___healthy,0.9983416252072969,0.0028723893989533807,100.0
GSMo no pretraining,Orange___Haunglongbing_(Citrus_greening),0.9966784677439798,0.0018846466068610547,551.0
GSMo no pretraining,Peach___Bacterial_spot,0.9941677989400333,0.005525550245355396,230.0
GSMo no pretraining,Peach___healthy,0.9918056774948786,0.01019261034080657,100.0
GSMo no pretraining,"Pepper,_bell___Bacterial_spot",0.9933164995791562,0.007681514081181097,100.0
GSMo no pretraining,"Pepper,_bell___healthy",0.9853410924839497,0.005165830525013892,148.0
GSMo no pretraining,Potato___Early_blight,0.9933333333333333,0.0057735026918962545,100.0
GSMo no pretraining,Potato___Late_blight,0.9801448119212833,0.008277625139072866,100.0
GSMo no pretraining,Potato___healthy,0.9816057697140272,0.007786391010091242,100.0
GSMo no pretraining,Raspberry___healthy,0.9917405582922824,0.007541344756608528,100.0
GSMo no pretraining,Soybean___healthy,0.991451676759023,0.0015177377323195502,509.0
GSMo no pretraining,Squash___Powdery_mildew,0.9954978974767285,0.003103965683632225,184.0
GSMo no pretraining,Strawberry___Leaf_scorch,0.9969969360631454,0.0026008088126953494,111.0
GSMo no pretraining,Strawberry___healthy,0.9932998324958123,0.007676006189205732,100.0
GSMo no pretraining,Tomato___Bacterial_spot,0.9812107201898385,0.004347823665509862,213.0
GSMo no pretraining,Tomato___Early_blight,0.9602311014871082,0.021543985434864753,100.0
GSMo no pretraining,Tomato___Late_blight,0.9716913764157858,0.004432070873663571,191.0
GSMo no pretraining,Tomato___Leaf_Mold,0.9900330841604373,0.013153520782689622,100.0
GSMo no pretraining,Tomato___Septoria_leaf_spot,0.9803277401392899,0.010139469074707272,178.0
GSMo no pretraining,Tomato___Spider_mites Two-spotted_spider_mite,0.9724251484903279,0.006261693381663903,168.0
GSMo no pretraining,Tomato___Target_Spot,0.9621127664605925,0.015284928496187126,140.0
GSMo no pretraining,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9946780001847344,0.0014410556719055485,535.0
