model,seed,joint_accuracy,joint_macro_f1,joint_weighted_f1,unconstrained_legal_rate,plant_accuracy,plant_macro_f1,disease_accuracy,disease_macro_f1,parameters,checkpoint_mb,training_minutes,best_epoch,batched_images_per_second,batch1_mean_ms,batch1_p50_ms,batch1_p95_ms
InceptionV3 38-class,42,0.752112676056338,0.7294493924044257,0.7557977882117414,1.0,0.8503728251864126,0.8263116694913408,0.7764705882352941,0.6768867640503697,21863430,83.73670101165771,22.94681123017023,29,4468.5504623564775,5.37961564,5.3752895,5.46123655
InceptionV3 38-class,3407,0.8054681027340513,0.8016871024368404,0.8012781555057048,1.0,0.9463131731565866,0.9398987196818609,0.8129246064623032,0.7516770526952629,21863430,83.73670101165771,22.81006085500121,21,4948.709628541439,5.348219340000001,5.3328795,5.50633275
InceptionV3 38-class,2026,0.7373653686826843,0.722406746362343,0.7336977692906194,1.0,0.8341342170671086,0.8171391758092447,0.7613918806959403,0.7092874828685368,21863430,83.73670101165771,22.854567940781514,17,4524.938779983037,5.54904473,5.3573895,5.824034949999999
InceptionV3 plain multi-output,42,0.8579950289975145,0.8734834360064295,0.8664676851562108,0.9937033968516984,0.9796188898094449,0.9723099599286659,0.8661143330571666,0.8308193659401081,21857283,83.7138147354126,22.868081457105777,26,4963.193073950574,5.353071104999999,5.3405565,5.45476875
InceptionV3 plain multi-output,3407,0.8581607290803646,0.8688776196712338,0.863222668134356,0.9912178956089478,0.9716652858326429,0.9666211716770118,0.8685998342999172,0.8304424509934873,21857283,83.7138147354126,22.435904790461063,29,4961.667013591299,5.438449565000001,5.4264495,5.61175815
InceptionV3 plain multi-output,2026,0.8415907207953603,0.8296091392436982,0.8489877396564671,0.9685169842584921,0.9428334714167357,0.9325113479033474,0.843910521955261,0.7938204933362,21857283,83.7138147354126,22.920692424662413,23,4915.06921285517,5.435097020000001,5.389812,5.65444445
GSMo ImageNet,42,0.7663628831814416,0.7666819158935446,0.779144254096267,0.9676884838442419,0.8869925434962718,0.8561283452622523,0.7988400994200497,0.7632332765260242,21929586,83.99073505401611,22.719140859444938,19,4621.005678791202,5.443420845,5.4314665,5.6181098
GSMo ImageNet,3407,0.8858326429163215,0.8751744073630618,0.8843360658036542,0.9950289975144988,0.9670256835128418,0.9563800188163615,0.9019055509527755,0.8730933925695273,21929586,83.99073505401611,22.435873739545546,29,4845.196344672565,5.53794046,5.5309995,5.646816899999999
GSMo ImageNet,2026,0.8555095277547639,0.8569525923061062,0.8579407357733956,0.991880695940348,0.9668599834299917,0.9586900972033827,0.8667771333885667,0.8285672048336907,21929586,83.99073505401611,22.8527099100252,12,4780.919801541228,5.576818660000002,5.499524,5.87907445
PlantXViT-style reproduction,42,0.9837613918806959,0.982347035806049,0.9837469793228172,1.0,0.9908864954432477,0.9886359316822283,0.9882352941176471,0.9834215317357611,607814,2.3474016189575195,16.182067548669874,28,26203.058508946764,0.9696469400000001,0.964939,1.03335355
PlantXViT-style reproduction,3407,0.9819386909693455,0.9812416736468315,0.9819709063282107,1.0,0.9882352941176471,0.9855198721323577,0.987903893951947,0.9840832314738582,607814,2.3474016189575195,16.13057210072875,25,27051.93255407428,0.9830172949999999,0.983196,1.0091307999999999
PlantXViT-style reproduction,2026,0.979950289975145,0.9804125815909295,0.9801287159126463,1.0,0.9872410936205468,0.9836274220669348,0.987903893951947,0.9845644167446856,607814,2.3474016189575195,16.64503779883186,26,28202.265535774568,0.966491235,0.9633745,0.9971114
GSMo no pretraining,42,0.9859154929577465,0.9843843305353305,0.985927805401836,0.9988400994200497,0.9935376967688484,0.9930070725918004,0.9890637945318973,0.9835241896242926,21929586,83.99073505401611,23.0478275300314,26,4787.372413812052,5.520653864999999,5.511031,5.64452265
GSMo no pretraining,3407,0.9884009942004971,0.9874389168153422,0.9883976116930336,0.9990057995028998,0.9943661971830986,0.9926115373040593,0.9917149958574979,0.9879752041578798,21929586,83.99073505401611,22.65716839581728,30,4485.962838596225,5.48100967,5.473439000000001,5.55003065
GSMo no pretraining,2026,0.9903893951946976,0.9895130027438483,0.9903821406718948,0.9990057995028998,0.9963545981772991,0.9962858254143531,0.9923777961888981,0.9884895614189049,21929586,83.99073505401611,22.61197512013217,28,4133.429681313417,5.533754205,5.5247515,5.61976
GSMo equal loss,42,0.9484672742336371,0.9410150918628044,0.947913178600239,0.9976801988400994,0.9932062966031483,0.9899495144490211,0.9516155758077879,0.9190883714912788,21929586,83.99073505401611,22.854696226740877,24,4842.352650427506,5.475554959999999,5.4470655,5.56511665
GSMo equal loss,3407,0.8831814415907208,0.8883092848420616,0.8857105355400808,0.9900579950289975,0.9768019884009942,0.970605989601652,0.887821043910522,0.8515846641724429,21929586,83.99073505401611,22.488112595677375,29,4848.744516424734,5.522632685,5.4897335,5.699346299999999
GSMo equal loss,2026,0.8760563380281691,0.8808919993274679,0.8855460316677664,0.9859154929577465,0.9663628831814416,0.9637580096674202,0.8841756420878211,0.8554655486528113,21929586,83.99073505401611,22.92389466588696,30,4593.452356525846,5.519584845000001,5.4902774999999995,5.602195699999999
